Date : 2023-06-28 20:35:38
Directory : g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp
Total : 171 files,  22700 codes, 814 comments, 724 blanks, all 24238 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tailwindcss.ps1                      | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\terser.cmd                           | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\terser.ps1                           | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tsc.cmd                              | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tsc.ps1                              | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tsserver.cmd                         | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tsserver.ps1                         | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\update-browserslist-db.cmd           | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\update-browserslist-db.ps1           | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\uuid.cmd                             | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\uuid.ps1                             | PowerShell |         22 |          5 |          2 |         29 |
