"filename", "language", "JavaScript", "JSON", "TypeScript", "HTML", "CSS", "YAML", "Markdown", "Batch", "PowerShell", "XML", "comment", "blank", "total"
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\rollup.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sassgraph.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sassgraph.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\semver.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\semver.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sshpk-conv.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sshpk-conv.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sshpk-sign.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sshpk-sign.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sshpk-verify.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sshpk-verify.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sucrase-node.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sucrase-node.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sucrase.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sucrase.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\svgo.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\svgo.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tailwind.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tailwind.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tailwindcss.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tailwindcss.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\terser.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\terser.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tsc.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tsc.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tsserver.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tsserver.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\update-browserslist-db.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\update-browserslist-db.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\uuid.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\uuid.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\webpack-dev-server.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\webpack-dev-server.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 2, 29
"g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\webpack.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
